CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE
incollection	catford83	San Diego, CA	NA	Catford, J. C.	Pharyngeal and laryngeal sounds in {C}aucasian languages	NA	??	NA	NA	NA	NA	Bless, D. M. and Abbs, J. H.	NA	NA	NA	NA	NA	NA	NA	NA	344--350	College Hill Press	NA	NA	NA	NA	1983	NA	NA	NA	NA	NA
incollection	kodzasov86	Makhachkala	NA	Kodzasov, S. V.	Faringo-laringalʹnoe suženie v dagestanskix jazykax	NA	??	NA	NA	NA	NA	Klimov, G. A.	NA	NA	NA	NA	NA	NA	NA	NA	344--350	Dag. fil. AN SSSR	NA	NA	NA	NA	1986	NA	NA	NA	NA	NA
inproceedings	gasser14	NA	NA	Gasser, Emily and Bowern, Claire	Revisiting phonotactic generalizations in {A}ustralian languages	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	2014	NA	NA	NA	NA	NA
inproceedings	catford72	NA	NA	Catford, J. C.	Labialisation in {C}ausasian {L}anguages, with special reference to {A}bkhaz	NA	???	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	De Gruyter Mouton	679--682	NA	NA	NA	NA	NA	1972	NA	NA	NA	NA	NA
inproceedings	kodzasov87	NA	NA	Kodzasov, S. V.	Pharyngeal features in the {D}aghestan languages	NA	??	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	142--144	NA	NA	NA	NA	2	1987	NA	NA	NA	NA	NA
inproceedings	arkhipov19	NA	NA	Arkhipov, A. and Daniel, M. and Belyaev, O. and Moroz, G. and Esling, J. H.	A reinterpretation of lower-vocal-tract articulations in {C}aucasian languages	NA	??	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5--9	NA	NA	NA	NA	NA	2019	NA	NA	NA	NA	NA
manual	moroz17	NA	NA	George Moroz	lingtypology: easy mapping for {L}inguistic {T}ypology	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2017	https://CRAN.R-project.org/package=lingtypology	NA	NA	NA	NA
manual	rteam	Vienna, Austria	NA	R Core Team	R: {A} {L}anguage and {E}nvironment for {S}tatistical {C}omputing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R Foundation for Statistical Computing	NA	NA	NA	NA	NA	NA	2020	https://www.R-project.org/	NA	NA	NA	NA
manual	moroz20	NA	NA	George Moroz	Phonetic fieldwork and experiments with phonfieldwork package	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020	https://CRAN.R-project.org/package=phonfieldwork	NA	NA	NA	NA
misc	daniell2021	NA	NA	Daniel, Michael	Ejectives in the {A}zerbaijani of {I}lisu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2021	NA	NA	NA	NA	NA
misk	eurasianphonology	NA	NA	Nikolaev, Dmitry and Andrey Nikulin and Anton Kukhto	The database of {E}urasian phonological inventories	NA	The database of {E}urasian phonological inventories	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015	http://eurasianphonology.info	NA	NA	NA	NA
misk	grawunder	NA	NA	Grawunder, S. and Moroz, G. and Zhigulskaya, V. and Daniel, M.	VOT in two {E}ast {C}aucasian languages	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phdthesis	khalilova09	NA	NA	Khalilova, Zaira	A grammar of {K}hwarshi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Leiden University	NA	NA	NA	2009	NA	NA	NA	NA	NA
