id,village,rus_village,lat,lon,lang,aff,family,standard,default_level,dialect_toplevel,dialect_toplevel_cyr,dialect_nt1,dialect_nt1_cyr,dialect_nt2,dialect_nt2_cyr,dialect_nt3,dialect_nt3_cyr,village_dialect,gltc_lang,lang_col,aff_col,dataset_version
1026,Malgobek,Малгобек,43.516667,44.583333,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Malgobek,ingu1240,#663300,#996633,2024-09-19
1027,Yuzhnoe,Южное,43.51706,44.747915,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Yuzhnoe,ingu1240,#663300,#996633,2024-09-19
1028,Aki-yurt,Аки-юрт,43.519639,44.865097,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Aki-yurt,ingu1240,#663300,#996633,2024-09-19
1029,Voznesenskaya,Вознесенская,43.542673,44.75334,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Voznesenskaya,ingu1240,#663300,#996633,2024-09-19
1030,Vezhariy,Вежарий,43.597558,44.57435,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Vezhariy,ingu1240,#663300,#996633,2024-09-19
1031,Shari,Шари,41.957302,47.608649,Kajtak,Dargwic,East Caucasian,NA,Shari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-19
1032,Turaga,Турага,41.96152,47.80188,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1033,Kirki,Кирки,41.96917,47.81333,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1034,Shilansha,Шиланша,41.97502,47.78696,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1035,Surkhavkent,Сурхавкент,41.983999,47.827576,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1036,Shuragat,Шурагат,41.99186,47.83994,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1037,Varsit,Варсит,41.992062,47.82111,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1038,Kirtsik,Кирцик,42.00129,47.84068,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1039,Pilyaki,Пиляки,42.00537,47.85667,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1040,Chakhrizhi,Чахрижи,42.00702,47.622084,Kajtak,Dargwic,East Caucasian,NA,Sanaqari-Chahrizhi,Chahrizhi,чахрижское,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-19
1041,Adaga,Адага,42.00972,47.71357,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1042,Sanakari,Санакари,42.012126,47.641267,Kajtak,Dargwic,East Caucasian,NA,Sanaqari-Chahrizhi,Sanaqari,санакаринское,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-19
1043,Duregi,Дуреги,42.03585,47.76541,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Qattagan,каттаганский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1044,Bazhluk,Бажлук,42.040295,47.808314,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1045,Ruka,Рука,42.04751,47.92312,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1046,Shilyagi,Шиляги,42.0486,47.7903,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Qattagan,каттаганский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1047,Dzhavgat,Джавгат,42.0506,47.9375,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Irchamal,ирчамульский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1048,Mashaty,Машаты,42.05398,47.88286,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Chiwhan,джибахнинский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1049,Kulidzha,Кулиджа,42.054682,47.772754,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Qattagan,каттаганский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1050,Dzhibakhni,Джибахни,42.06051,47.90847,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Chiwhan,джибахнинский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1051,Dzhigiya,Джигия,42.06139,47.79597,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Qattagan,каттаганский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1052,Mizhigli,Мижигли,42.0697,47.79989,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Qattagan,каттаганский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
1053,Kulegu,Кулегу,42.07003,47.88401,Kajtak,Dargwic,East Caucasian,NA,Kajtag,Gharcan,карацанский,NA,NA,NA,NA,NA,NA,NA,kajt1238,#ff9900,#ff9900,2024-09-19
